id,irsz,varos,utca,hsz
,3933,Ináncs,Gorkij,7
,3257,Makkoshotyka,Akácfa,34
,3247,Irota,Nagytelek,66
,3563,Nagykinizs,Delelő,77
,3792,Rudabánya,Kert,111
,3887,Szendrőlád,Fecske,67
,3362,Varbóc,Játszótéri,18
,3675,Nagycsécs,Jávorka,65
,3353,Olaszliszka,Keskeny,28
,3359,Oszlár,Thököly,96
,3250,Radostyán,Berzsenyi Dániel,58
,3900,Tard,Hatvany Irén,18
,3621,Sajólászlófalva,Huszár,7
,3642,Semjén,Iskola,97
,3411,Korlát,Gesztenye,92
,3917,Csokvaomány,Babits Mihály,86
,3253,Zádorfalva,Balassi Bálint,117
,3828,Krasznokvajda,Kard,48
,3514,Alsóregmec,Szepes Béla,16
,3411,Bükkszentkereszt,Árpád,41
,3743,Borsodbóta,Nagytelek,66
,3362,Jósvafő,Ratkó József,75
,3478,Sajónémeti,Mátyás király,49
,3591,Kenézlő,Hársfa,61
,3046,Hidvégardó,Kistelek,102
,3556,Igrici,Cserje,1
,3890,Tiszaújváros,Utász,79
,3521,Tállya,Csokonai,26
,3486,Hejőbába,Peresi,27
,3520,Semjén,Hegyalja,16
,3940,Abaújlak,Petőfi Sándor,48
,3781,Sárazsadány,Dézsmaszék,48
,3751,Hét,Ratkó József,98
,3754,Abaújszántó,Rózsa,63
,3584,Gönc,Turai,57
,3485,Dámóc,Traktor,51
,3047,Hernádkak,Sport,28
,3214,Hejőkürt,Babits Mihály,30
,3575,Sáta,Dobó István,100
,3853,Bódvalenke,Ifjúság,113
,3813,Dubicsány,Kard,60
,3666,Litka,Deák Ferenc,111
,3299,Tornaszentandrás,Attila,97
,3749,Gömörszőlős,Baross Gábor,57
,3923,Sály,Vár,8
,3229,Felsővadász,Teleki,112
,3664,Rudolftelep,Pécsi Sándor ,91
,3657,Bekecs,Szapáry,23
,3156,Sajóbábony,Pázsit,29
,3919,Mezőcsát,Hegyalja,75
,3790,Sajószentpéter,Forgács Simon,76
,3333,Radostyán,Zagyvaparti,62
,3925,Szuhogy,Czóbel Béla,10
,3933,Girincs,Kazinczy  Ferenc,37
,3311,Lácacséke,Csokonai,103
,3296,Szászfa,Grassalkovich,118
,3504,Nyíri,Borház,51
,3381,Sátoraljaújhely,Bástya,72
,3243,Abaújvár,Jávorka,42
,3962,Bogács,Baross Gábor,58
,3721,Sajókápolna,Bethlen Gábor,55
,3566,Tolcsva,Árpád,59
,3913,Arnót,Kert,105
,3559,Perkupa,Traktor,78
,3143,Mezőkövesd,Traktor,115
,3194,Sajókeresztúr,Nagytelek,76
,3874,Garadna,Hét vezér,106
,3591,Mályi,Ifjúság,10
,3783,Füzérkajata,Görbe,107
,3652,Boldva,Deák Ferenc,108
,3596,Oszlár,Attila,6
,3764,Kenézlő,Szabadság,35
,3978,Méra,Arany János,15
,3386,Sajósenye,Botond,89
,3322,Sárazsadány,Görgey Artúr,48
,3802,Jákfalva,Erzsébet,22
,3789,Gesztely,Kert,44
,3454,Fancsal,Görbe,59
,3393,Lácacséke,Diófa,1
,3542,Vágáshuta,Játszótéri,57
,3617,Léh,Doktay Gyula,96
,3958,Pere,Turai,4
,3091,Viss,Dózsa György,63
,3293,Nyíri,Bem József,19
,3455,Szuhakálló,Turul,7
,3333,Bükkszentkereszt,Klapka György,53
,3580,Sajómercse,Táltos,105
,3543,Tiszakarád,Attila,9
,3169,Göncruszka,Hajnal,28
,3014,Hangony,Gódor Kálmán,5
,3706,Hidvégardó,Kisfaludy,67
,3391,Irota,Jókai Mór,23
,3697,Bükkmogyorósd,Hajós Alfréd,55
,3339,Kisrozvágy,Váci Mihály,109
,3857,Dövény,Barackos,6
,3973,Bodrogolaszi,Dézsmaszéki,68
,3478,Gadna,Kárpát,73
,3465,Bodrogkeresztúr,Vár,86
,3332,Révleányvár,Vitális Mór,9
,3455,Taktaharkány,Akácfa,118
,3081,Sátoraljaújhely,Dembinszky,73
,3798,Vizsoly,Barackos,29
,3599,Olaszliszka,Domb,102
,3230,Homrogd,Gábor Áron,108
,3049,Sajónémeti,Bethlen Gábor,17
,3751,Boldogkőújfalu,Esze Tamás,108
,3080,Tornyosnémeti,Petőfi Sándor,115
,3266,Tokaj,Sport,107
,3337,Hernádbűd,Vas,56
,3234,Tiszatardos,Ősz,28
,3233,Gömörszőlős,Majtényi,22
,3774,Domaháza,Legány Ödön,59
,3713,Berente,Mikes,19
,3426,Telkibánya,Sport,52
,3071,Izsófalva,Martinovics,29
,3488,Tiszabábolna,Albert Schweitzer,118
,3201,Sajóvelezd,Kölcsey Ferenc,63
,3347,Felsőzsolca,Bornemissza,34
,3828,Ónod,Rét,19
,3535,Bódvarákó,Bibó István,10
,3339,Szegi,Mészáros Lázár,38
,3057,Erdőbénye,Bocskai István,45
,3148,Alsódobsza,Tizeshonvéd,50
,3495,Sály,Strázsahegyi,50
,3671,Meszes,József Attila,108
,3930,Alsószuha,Hajnal,50
,3792,Boldogkőváralja,Delelő,47
,3365,Tiszacsermely,Tóth Árpád,91
,3254,Hernádbűd,Thurzó,31
,3075,Kistokaj,Turai,47
,3051,Újcsanálos,Kossuth Lajos,17
,3050,Alacska,Grassalkovich,25
,3848,Hejőszalonta,Bibó István,117
,3663,Kisgyőr,Wesselényi,69
,3187,Zubogy,Albert Schweitzer,51
,3544,Hejőkürt,Várkonyi Sándor,15
,3085,Szuhakálló,Hunyadi Mátyás,88
,3586,Hollóháza,Papmalom,23
,3969,Rudabánya,Ratkó József,68
,3430,Mezőcsát,Hegytető,85
,3978,Alsódobsza,Kölcsey Ferenc,5
,3041,Ormosbánya,Szőlőhegy,65
,3931,Hejőkeresztúr,Tóth Árpád,20
,3660,Fáj,Honvéd,66
,3506,Szinpetri,Kard,50
,3657,Abaújszántó,Nagytelek major,75
,3404,Bükkábrány,Legány Ödön,70
,3996,Bodroghalom,Hajnal,71
,3993,Teresztenye,Balogh Ádám,28
,3095,Borsodszentgyörgy,Táncsics Mihály,73
,3497,Bükkzsérc,Huszár,72
,3856,Szögliget,Béke,105
,3362,Gadna,Vas Gereben,15
,3522,Imola,Madách,65
,3841,Tarcal,Bokor,28
,3749,Hernádkak,Teleki,94
,3376,Sáta,Zagyvaparti,46
,3829,Rakaca,Doktay Gyula,118
,3284,Radostyán,Lőrinci,67
,3843,Lak,Kosztolányi Dezső,34
,3683,Szendrő,Tarjáni,9
,3441,Tardona,Mártírok,91
,3737,Hernádpetri,Népkert,24
,3987,Rudabánya,Szőlőhegy,76
,3908,Selyeb,Vas,79
,3908,Bódvaszilas,Bajza József,64
,3652,Prügy,Doktay Gyula,9
,3775,Karcsa,Ifjúság,18
,3963,Ricse,Kóczos,67
,3252,Teresztenye,Kandó Kálmán,81
,3129,Taktabáj,Háromház,97
,3340,Csobaj,Major,107
,3102,Hernádszentandrás,Csajkovszkij,33
,3125,Tiszakarád,Bibó István,1
,3282,Tiszakarád,Hajdú,73
,3024,Ziliz,Legelő,41
,3849,Révleányvár,Árpád,93
,3213,Nyomár,Dézsmaszéki,50
,3714,Sajópüspöki,Baross Gábor,67
,3739,Hejőpapi,Kopja,100
,3252,Sajóhídvég,Kobzos,47
,3521,Szögliget,Martinovics,43
,3097,Szerencs,Legelő,11
,3884,Alsótelekes,Szapáry,25
,3303,Bózsva,Dolgozók,42
,3919,Tomor,Diófa,97
,3413,Mezőnyárád,Csatafi,77
,3052,Sáta,Gárdonyi Géza,119
,3547,Jákfalva,Major,108
,3163,Kelemér,Vasvári Pál,24
,3893,Hollóháza,Lukács Pelbárt,36
,3980,Zemplénagárd,Viola,37
,3028,Méra,Turai,22
,3851,Abaújalpár,Vitéz,101
,3471,Mezőkeresztes,Grassalkovich,23
,3264,Vilmány,Nyár,100
,3029,Bánhorváti,Turul,108
,3669,Kisgyőr,Tavasz,11
,3477,Forró,Erdei-Köves,55
,3323,Megyaszó,Damjanich,53
,3730,Csenyéte,Dolgozók,14
,3354,Makkoshotyka,Várkonyi Sándor,119
,3758,Égerszög,Kurta,70
,3467,Szentistván,Háromház,14
,3690,Bodrogolaszi,Domb,43
,3882,Szakáld,Kurta,32
,3480,Füzérkomlós,Nyírfa,20
,3962,Edelény,Kövestéri,80
,3965,Halmaj,Attila,60
,3542,Répáshuta,Gorkij,54
,3625,Korlát,Krúdy Gyula,68
,3888,Vatta,Kopja,62
,3840,Sajópetri,Vak Bottyán,118
,3270,Borsodszentgyörgy,Tarjáni,34
,3317,Olaszliszka,Szapáry,55
,3887,Sóstófalva,Vitéz,33
,3070,Tállya,Szent Mihály,28
,3578,Bükkmogyorósd,Munkácsy Mihály,65
,3410,Hernádnémeti,Hajós Alfréd,101
,3714,Ragály,Kárpát,49
,3221,Hernádkak,Mikes,53
,3326,Sajóecseg,Nyírfa,76
,3952,Szinpetri,Legelő,96
,3526,Baktakék,Harmónia,110
,3084,Garadna,Knézich Károly,113
,3874,Rakacaszend,Csajkovszkij,8
,3039,Keresztéte,Keskeny,32
,3975,Dédestapolcsány,Vitális Mór,118
,3379,Bükkzsérc,Köves,45
,3743,Sajóörös,Horváth Mihály,40
,3720,Sajópetri,Kard,119
,3905,Alsótelekes,Vitális Mór,30
,3460,Csenyéte,Peresi,63
,3116,Aggtelek,Móra Ferenc,81
,3734,Abaújkér,Baross Gábor,34
,3623,Zubogy,Határ,113
,3489,Kéked,Szepes Béla,40
,3355,Szentistvánbaksa,Zrínyi,64
,3919,Sajóvelezd,Görgey Artúr,49
,3146,Csenyéte,Hősmagyar,77
,3165,Királd,Fűzfa,25
,3176,Csenyéte,Határ,64
,3810,Felsőzsolca,Attila,7
,3730,Méra,Balogh Ádám,2
,3264,Sátoraljaújhely,Bibó István,23
,3730,Felsőgagy,Vasvári Pál,40
,3864,Balajt,Tabán,105
,3483,Erdőhorváti,Táltos,55
,3261,Domaháza,Vécsey Károly,113
,3309,Muhi,Bocskai István,57
,3919,Tomor,Mozdony,20
,3177,Sajónémeti,Zöld,109
,3984,Tiszatarján,Erdei-Köves,96
,3488,Jákfalva,Kórház,73
,3827,Zemplénagárd,Gorkij,67
,3129,Füzérkajata,Gáspár András,5
,3127,Lak,Belső Ifjúság,90
,3957,Vatta,Zrínyi,27
,3108,Harsány,Madách,87
,3542,Felsődobsza,Tavasz,101
,3569,Bükkszentkereszt,Tizeshonvéd,67
,3229,Tiszaladány,Kinizsi Pál,88
,3309,Tállya,Sóderos,102
,3947,Ináncs,Hatvany Irén,87
,3547,Sárazsadány,Május,2
,3445,Forró,Hatvanas,105
,3154,Onga,Krúdy Gyula,67
,3450,Martonyi,Attila,104
,3261,Újcsanálos,Klapka György,67
,3418,Kazincbarcika,Csokonai,8
,3124,Büttös,Vas,60
,3439,Taktakenéz,Krúdy Gyula,31
,3384,Edelény,Bem József,83
,3989,Alsóberecki,Ősz,91
,3275,Alacska,Villany,91
,3771,Abod,Babits Mihály,56
,3241,Fony,Irinyi János,16
,3948,Bódvarákó,Gáspár András,42
,3987,Bódvarákó,Zrínyi,35
,3080,Tardona,Hajós Alfréd,20
,3734,Kány,Bercsényi,90
,3281,Alsózsolca,István király,44
,3440,Szendrő,Szalkai,72
,3795,Hidvégardó,Deák Ferenc,55
,3549,Oszlár,Knézich Károly,87
,3270,Szentistvánbaksa,Erdei-Köves,76
,3646,Újcsanálos,Kazinczy  Ferenc,119
